run_id,order_index,agent,execution_name,start_ts,end_ts,duration_s,num_tool_calls,num_kb_tool_calls,num_reflections,num_findings_registered,retry_count,num_empty_retries,hit_hard_cap,input_tokens,output_tokens,cached_input_tokens,reasoning_tokens,total_tokens
20260902-2013-0001,4,dast,DAST on requests GET parameters,2026-09-02T20:19:06.103855+00:00,2026-09-02T20:19:57.532273+00:00,51.428418,4,10,0,1,0,0,False,54179,3056,44206,0,57235
20260902-2013-0001,5,dast,DAST on POST endpoint parameters,2026-09-02T20:20:03.785383+00:00,2026-09-02T20:23:53.643911+00:00,229.858528,19,31,4,7,0,0,False,769419,11119,660716,0,780538
20260902-2013-0001,6,exploitation,Exploitation of SQLi for data extraction and admin password,2026-09-02T20:24:18.465191+00:00,2026-09-02T20:27:06.695092+00:00,168.229901,27,35,1,1,0,0,False,478952,6738,359798,0,485690
20260902-2028-0002,0,recon,Initial recon and login,2026-09-02T20:28:39.286901+00:00,2026-09-02T20:30:12.439821+00:00,93.15292,15,16,0,1,0,0,False,130178,4449,96780,0,134627
20260902-2028-0002,1,dast,DAST on GET query parameters,2026-09-02T20:30:25.128190+00:00,2026-09-02T20:31:55.686503+00:00,90.558313,8,18,1,5,0,0,False,152626,4372,103059,0,156998
20260902-2028-0002,2,dast,DAST on remaining endpoints,2026-09-02T20:32:04.027790+00:00,2026-09-02T20:34:58.686335+00:00,174.658545,21,43,1,10,0,0,False,281755,8030,180201,0,289785
20260902-2028-0002,3,exploitation,Exploitation of SQLi - schema extraction and admin password,2026-09-02T20:35:07.247155+00:00,2026-09-02T20:43:15.260186+00:00,488.013031,50,81,3,13,0,0,False,1270595,21862,1044355,0,1292457
20260902-2044-0003,0,recon,Initial recon and authentication,2026-09-02T20:44:44.838893+00:00,2026-09-02T20:46:59.505629+00:00,134.666736,19,21,1,1,0,0,False,182506,6010,106944,0,188516
20260902-2044-0003,1,dast,DAST on login endpoint,2026-09-02T20:47:13.288787+00:00,2026-09-02T20:51:05.333110+00:00,232.044323,15,22,2,1,0,0,False,476247,11712,374110,0,487959
20260902-2044-0003,2,dast,DAST on signup endpoint,2026-09-02T20:51:09.059441+00:00,2026-09-02T20:57:15.351109+00:00,366.291668,13,20,2,1,0,0,False,422395,20338,311357,0,442733
20260902-2044-0003,3,dast,DAST on profile endpoint,2026-09-02T20:57:19.777834+00:00,2026-09-02T20:57:51.364559+00:00,31.586725,2,7,0,1,0,0,False,39135,1704,29482,0,40839
20260902-2044-0003,4,dast,DAST on users search endpoint,2026-09-02T20:57:55.376836+00:00,2026-09-02T20:58:23.173624+00:00,27.796788,2,8,0,1,0,0,False,39312,1477,30646,0,40789
20260902-2044-0003,5,dast,DAST on settings endpoint,2026-09-02T20:58:26.576142+00:00,2026-09-02T20:59:37.557018+00:00,70.980876,6,11,1,0,0,0,False,95791,3357,51023,0,99148
20260902-2044-0003,6,dast,DAST on create_post endpoint,2026-09-02T20:59:41.103444+00:00,2026-09-02T21:00:18.556781+00:00,37.453337,3,8,0,1,0,0,False,48390,2016,37237,0,50406
20260902-2044-0003,7,dast,DAST on edit_post endpoint,2026-09-02T21:00:22.335142+00:00,2026-09-02T21:01:53.139724+00:00,90.804582,5,14,1,2,0,0,False,133220,4759,97569,0,137979
20260902-2044-0003,8,dast,DAST on delete_post endpoint,2026-09-02T21:01:56.639886+00:00,2026-09-02T21:02:33.823854+00:00,37.183968,2,8,0,1,0,0,False,42698,2063,32350,0,44761
20260902-2044-0003,9,dast,DAST on friends endpoint,2026-09-02T21:02:38.287761+00:00,2026-09-02T21:04:05.292339+00:00,87.004578,8,14,1,1,0,0,False,125754,4335,82843,0,130089
20260902-2044-0003,10,dast,DAST on messages endpoint,2026-09-02T21:04:08.777529+00:00,2026-09-02T21:05:31.758999+00:00,82.98147,8,15,1,1,0,0,False,154890,3665,95064,0,158555
20260902-2044-0003,11,dast,DAST on direct_messages endpoint,2026-09-02T21:05:35.236582+00:00,2026-09-02T21:06:12.863574+00:00,37.626992,3,8,0,1,0,0,False,51019,2017,40474,0,53036
20260902-2044-0003,12,dast,DAST on friend-related POST endpoints,2026-09-02T21:06:16.500372+00:00,2026-09-02T21:08:41.817271+00:00,145.316899,11,30,3,2,0,0,False,427314,6847,353993,0,434161
20260902-2044-0003,13,dast,DAST on posts and direct_messages POST endpoints,2026-09-02T21:08:46.358052+00:00,2026-09-02T21:10:44.392595+00:00,118.034543,14,20,1,2,0,0,False,197296,5969,147640,0,203265
20260902-2044-0003,14,exploitation,Exploitation of profile and users SQLi,2026-09-02T21:10:55.519718+00:00,2026-09-02T21:24:30.305302+00:00,814.785584,102,117,3,3,0,0,False,3568292,23195,2970699,0,3591487
20260902-2158-0001,0,recon,Initial recon and authentication,2026-09-02T21:58:23.117621+00:00,2026-09-02T22:00:26.034945+00:00,122.917324,19,20,1,1,0,0,False,188908,4690,80187,0,193598
20260902-2158-0001,1,dast,DAST on profile/users/posts/messages search params,2026-09-02T22:00:39.456871+00:00,2026-09-02T22:01:47.296105+00:00,67.839234,6,13,1,2,0,0,False,110117,3350,73468,0,113467
20260902-2158-0001,2,dast,DAST on friends/requests/post IDs/DM/friend endpoints,2026-09-02T22:01:53.005988+00:00,2026-09-02T22:05:52.436826+00:00,239.430838,20,38,2,6,0,0,False,613555,11871,492231,0,625426
20260902-2158-0001,3,dast,DAST on login/signup/create/edit/settings endpoints,2026-09-02T22:05:57.372063+00:00,2026-09-02T22:12:03.961207+00:00,366.589144,33,51,4,3,0,0,False,1179719,16668,966443,0,1196387
20260902-2158-0001,4,exploitation,Exploitation of SQLi to extract admin password,2026-09-02T22:12:17.947491+00:00,2026-09-02T22:18:26.605833+00:00,368.658342,34,56,4,9,0,0,False,1105723,16790,900956,0,1122513
20260902-2219-0002,0,recon,Initial recon and authentication setup,2026-09-02T22:19:33.723673+00:00,2026-09-02T22:21:27.157068+00:00,113.433395,14,18,1,1,0,0,False,216581,4861,127207,0,221442
20260902-2219-0002,1,dast,DAST on profile username parameter,2026-09-02T22:21:37.762980+00:00,2026-09-02T22:22:13.540924+00:00,35.777944,3,10,0,1,0,0,False,54370,2032,44326,0,56402
20260902-2219-0002,2,dast,DAST on users search and friends parameters,2026-09-02T22:22:17.788539+00:00,2026-09-02T22:23:11.500177+00:00,53.711638,6,14,0,2,0,0,False,61832,3102,46799,0,64934
20260902-2219-0002,3,dast,DAST on posts endpoints,2026-09-02T22:23:15.624217+00:00,2026-09-02T22:25:40.100887+00:00,144.47667,17,27,2,2,0,0,False,423077,6928,346224,0,430005
20260902-2219-0002,4,dast,DAST on messaging and settings parameters,2026-09-02T22:25:44.526967+00:00,2026-09-02T22:27:43.007797+00:00,118.48083,17,28,1,2,0,0,False,303990,5612,232246,0,309602
20260902-2219-0002,5,dast,DAST on friend forms and login,2026-09-02T22:27:47.229068+00:00,2026-09-02T22:30:26.292453+00:00,159.063385,13,30,2,4,0,0,False,374594,7914,300398,0,382508
20260902-2219-0002,6,exploitation,Exploitation of login SQLi for data extraction,2026-09-02T22:30:44.609983+00:00,2026-09-02T22:37:52.824747+00:00,428.214764,40,50,4,0,0,0,False,1713581,17607,1444990,0,1731188
20260902-2219-0002,7,exploitation,Exploitation of profile SQLi for data extraction,2026-09-02T22:38:01.451769+00:00,2026-09-02T22:42:03.481787+00:00,242.030018,39,44,1,1,0,0,False,581093,8933,370448,0,590026
20260902-2242-0003,0,recon,Initial recon and login,2026-09-02T22:43:16.480196+00:00,2026-09-02T22:45:10.496331+00:00,114.016135,14,17,1,1,0,0,False,234902,4838,143856,0,239740
20260902-2242-0003,1,dast,DAST GET endpoints profile friends direct_messages users messages,2026-09-02T22:45:20.554098+00:00,2026-09-02T22:46:41.412399+00:00,80.858301,7,16,1,4,0,0,False,127462,4181,83514,0,131643
20260902-2242-0003,2,dast,DAST GET endpoints create_post edit_post delete_post,2026-09-02T22:46:45.376596+00:00,2026-09-02T22:48:08.567249+00:00,83.190653,8,17,1,2,0,0,False,109993,4109,53156,0,114102
20260902-2242-0003,3,dast,DAST POST endpoints login signup create_post settings edit_post remove_friend remove_request request_friend,2026-09-02T22:48:14.203795+00:00,2026-09-02T22:52:32.957038+00:00,258.753243,20,36,4,3,0,0,False,810255,13145,686988,0,823400
20260902-2242-0003,4,exploitation,Exploitation profile username SQLi,2026-09-02T22:52:44.106204+00:00,2026-09-02T22:57:52.748196+00:00,308.641992,41,52,2,1,0,0,False,1177859,11920,932591,0,1189779
20260902-2242-0003,5,exploitation,Exploitation remaining SQLi endpoints,2026-09-02T22:58:06.047443+00:00,2026-09-02T23:12:13.350615+00:00,847.303172,61,75,4,1,0,0,False,1796072,42954,1477155,0,1839026
20260902-2313-0004,0,recon,Initial recon and login,2026-09-02T23:13:31.317181+00:00,2026-09-02T23:15:37.865210+00:00,126.548029,16,20,1,1,0,0,False,263391,5264,165509,0,268655
20260902-2313-0004,1,dast,DAST query params profile users friends direct_messages requests,2026-09-02T23:15:52.998747+00:00,2026-09-02T23:16:55.169953+00:00,62.171206,9,19,0,5,0,0,False,63025,3489,46490,0,66514
20260902-2313-0004,2,dast,DAST query params edit_post delete_post messages create_post,2026-09-02T23:16:59.815499+00:00,2026-09-02T23:18:58.174213+00:00,118.358714,15,28,1,2,0,0,False,299069,5298,215386,0,304367
20260902-2313-0004,3,dast,DAST POST endpoints login signup create_post,2026-09-02T23:19:02.260572+00:00,2026-09-02T23:20:51.687980+00:00,109.427408,11,24,2,6,0,0,False,270385,5416,214126,0,275801
20260902-2313-0004,4,dast,DAST POST endpoints settings request_friend remove_friend requests remove_request direct_messages,2026-09-02T23:20:56.516680+00:00,2026-09-02T23:24:23.843472+00:00,207.326792,15,37,4,0,0,0,False,616948,10293,513557,0,627241
20260902-2313-0004,5,dast,DAST settings POST endpoint,2026-09-02T23:24:30.106214+00:00,2026-09-02T23:25:54.284688+00:00,84.178474,6,17,1,2,0,0,False,189783,4228,145910,0,194011
20260902-2313-0004,6,exploitation,Exploitation of all SQLi vulnerabilities - admin password extraction,2026-09-02T23:26:15.492599+00:00,2026-09-02T23:32:37.849539+00:00,382.35694,35,70,3,5,0,0,False,1636977,15691,1374066,0,1652668
20260903-0634-0005,0,recon,Initial recon and authentication,2026-09-03T06:34:57.517193+00:00,2026-09-03T06:37:49.865360+00:00,172.348167,30,32,1,1,0,0,False,414658,7052,312208,0,421710
20260903-0634-0005,1,dast,DAST on search parameters,2026-09-03T06:38:01.128228+00:00,2026-09-03T06:39:11.278809+00:00,70.150581,8,14,1,2,0,0,False,123501,3502,92411,0,127003
20260903-0634-0005,2,dast,DAST on profile and post parameters,2026-09-03T06:39:18.252021+00:00,2026-09-03T06:42:43.780597+00:00,205.528576,15,22,1,0,0,0,False,195498,11942,152216,0,207440
20260903-0634-0005,3,dast,DAST on POST form fields,2026-09-03T06:42:49.481645+00:00,2026-09-03T06:44:40.385710+00:00,110.904065,8,20,1,4,0,0,False,231238,5802,182082,0,237040
20260903-0634-0005,4,dast,DAST on settings and other form fields,2026-09-03T06:44:47.074792+00:00,2026-09-03T06:47:43.138338+00:00,176.063546,6,36,4,0,0,0,False,359782,10076,315871,0,369858
20260903-0634-0005,5,dast,DAST on remaining form fields,2026-09-03T06:48:09.838666+00:00,2026-09-03T06:51:06.770010+00:00,176.931344,14,26,2,2,0,0,False,537956,8531,440662,0,546487
20260903-0634-0005,6,exploitation,Exploitation of all confirmed XSS vulnerabilities,2026-09-03T06:51:25.798165+00:00,2026-09-03T06:56:34.918100+00:00,309.119935,17,55,3,6,0,0,False,875348,14895,704424,0,890243
20260903-0657-0006,0,recon,Initial recon and login,2026-09-03T06:58:11.183050+00:00,2026-09-03T07:00:25.744779+00:00,134.561729,18,22,1,1,0,0,False,288069,5355,178243,0,293424
20260903-0657-0006,1,dast,XSS test on GET query parameters,2026-09-03T07:00:39.085837+00:00,2026-09-03T07:01:42.832522+00:00,63.746685,8,14,0,1,0,0,False,57756,3664,43086,0,61420
20260903-0657-0006,2,dast,XSS test on POST form fields,2026-09-03T07:01:49.815164+00:00,2026-09-03T07:04:56.192039+00:00,186.376875,17,32,3,2,0,0,False,699113,8316,575181,0,707429
20260903-0657-0006,3,dast,XSS test on login and friend request fields,2026-09-03T07:05:08.188763+00:00,2026-09-03T07:06:44.725374+00:00,96.536611,9,17,1,1,0,0,False,191253,4643,127865,0,195896
20260903-0657-0006,4,dast,XSS test on remaining endpoints,2026-09-03T07:07:16.113901+00:00,2026-09-03T07:11:42.157293+00:00,266.043392,11,27,2,0,0,0,False,356067,16269,301231,0,372336
20260903-0657-0006,5,exploitation,Exploitation of users search XSS,2026-09-03T07:11:55.522223+00:00,2026-09-03T07:13:43.701979+00:00,108.179756,4,9,0,1,0,0,False,72002,7063,57768,0,79065
20260903-0657-0006,6,exploitation,Exploitation of create_post content XSS,2026-09-03T07:13:49.123099+00:00,2026-09-03T07:16:57.136236+00:00,188.013137,8,22,2,1,0,0,False,306362,10547,231189,0,316909
20260903-0657-0006,7,exploitation,Exploitation of edit_post content XSS,2026-09-03T07:17:02.789467+00:00,2026-09-03T07:20:04.873418+00:00,182.083951,5,23,2,1,0,0,False,315515,10173,238519,0,325688
20260903-0657-0006,8,exploitation,Exploitation of request_friend username XSS,2026-09-03T07:20:10.166318+00:00,2026-09-03T07:24:03.641813+00:00,233.475495,14,27,3,1,0,0,False,438310,12534,338339,0,450844
20260903-0725-0007,0,recon,Initial recon and authentication,2026-09-03T07:25:22.706878+00:00,2026-09-03T07:27:34.510587+00:00,131.803709,17,18,1,1,0,0,False,195570,5729,99270,0,201299
20260903-0725-0007,1,dast,DAST on authentication endpoints,2026-09-03T07:27:48.044269+00:00,2026-09-03T07:32:02.025003+00:00,253.980734,12,20,2,1,0,0,False,432478,13931,320070,0,446409
20260903-0725-0007,2,dast,DAST on posts and profile endpoints,2026-09-03T07:32:09.785043+00:00,2026-09-03T07:33:42.701870+00:00,92.916827,12,18,1,2,0,0,False,148939,4620,97119,0,153559
20260903-0725-0007,3,dast,DAST on settings friends messaging and users,2026-09-03T07:33:52.317352+00:00,2026-09-03T07:40:04.196874+00:00,371.879522,20,34,1,5,0,0,False,354517,9545,252780,0,364062
20260903-0725-0007,4,exploitation,Exploitation of stored XSS in post content,2026-09-03T07:40:23.226705+00:00,2026-09-03T07:45:57.321366+00:00,334.094661,14,23,2,2,0,0,False,468085,19758,372344,0,487843
20260903-0725-0007,5,exploitation,Exploitation of settings XSS vulnerabilities,2026-09-03T07:46:04.997232+00:00,2026-09-03T07:53:38.803078+00:00,453.805846,17,38,4,0,0,0,False,607873,14602,492286,0,622475
20260903-0725-0007,6,exploitation,Exploitation of reflected XSS findings,2026-09-03T07:53:54.428663+00:00,2026-09-03T07:59:31.319028+00:00,336.890365,7,20,1,3,0,0,False,201773,9502,164831,0,211275
20260903-0800-0008,0,recon,Initial recon and login,2026-09-03T08:01:17.818525+00:00,2026-09-03T08:03:46.245608+00:00,148.427083,19,24,1,1,0,0,False,369995,6815,279619,0,376810
20260903-0800-0008,1,dast,XSS test on profile friends direct_messages requests,2026-09-03T08:04:02.257306+00:00,2026-09-03T08:06:33.167158+00:00,150.909852,13,22,2,2,0,0,False,339418,7674,261700,0,347092
20260903-0800-0008,2,dast,XSS test on messages friends login edit_post delete_post,2026-09-03T08:06:41.718433+00:00,2026-09-03T08:08:47.200408+00:00,125.481975,13,21,1,1,0,0,False,243365,6662,187245,0,250027
20260903-0800-0008,3,dast,XSS test on settings direct_messages request_friend remove_friend remove_request,2026-09-03T08:08:54.622401+00:00,2026-09-03T08:11:23.890231+00:00,149.26783,9,20,1,2,0,0,False,233437,8639,187122,0,242076
20260903-0800-0008,4,dast,XSS test on settings multipart form,2026-09-03T08:11:32.124673+00:00,2026-09-03T08:15:01.094801+00:00,208.970128,24,40,4,0,0,0,False,752384,8960,606644,0,761344
20260903-0800-0008,5,dast,XSS test on settings multipart form with correct password,2026-09-03T08:15:08.732862+00:00,2026-09-03T08:19:40.767611+00:00,272.034749,10,21,1,1,0,0,False,198121,17313,146162,0,215434
20260903-0800-0008,6,exploitation,Exploitation of stored XSS in create_post,2026-09-03T08:19:54.819458+00:00,2026-09-03T08:23:36.261659+00:00,221.442201,10,24,2,1,0,0,False,331610,12451,240357,0,344061
20260903-0800-0008,7,exploitation,Exploitation of reflected XSS in users search,2026-09-03T08:23:42.702713+00:00,2026-09-03T08:25:49.298372+00:00,126.595659,9,17,1,1,0,0,False,209778,6722,145745,0,216500
20260903-0800-0008,8,exploitation,Exploitation of reflected XSS in request_friend,2026-09-03T08:25:55.624594+00:00,2026-09-03T08:27:51.793334+00:00,116.16874,9,15,1,1,0,0,False,198445,6172,143161,0,204617
20260903-0828-0009,0,recon,Initial recon and authentication setup,2026-09-03T08:29:09.452807+00:00,2026-09-03T08:31:27.215823+00:00,137.763016,17,20,2,1,0,0,False,508779,5642,407855,0,514421
20260903-0828-0009,1,dast,DAST XSS on search and profile endpoints,2026-09-03T08:31:44.575556+00:00,2026-09-03T08:32:50.505038+00:00,65.929482,7,13,1,1,0,0,False,109532,3362,77463,0,112894
20260903-0828-0009,2,dast,"DAST XSS on posts, messages, and create_post",2026-09-03T08:32:55.676398+00:00,2026-09-03T08:34:03.564152+00:00,67.887754,7,14,1,1,0,0,False,87354,3526,53334,0,90880
20260903-0828-0009,3,dast,"DAST XSS on edit_post, settings, and requests",2026-09-03T08:34:10.167988+00:00,2026-09-03T08:36:54.225057+00:00,164.057069,7,27,2,4,0,0,False,289174,9346,233029,0,298520
20260903-0828-0009,4,dast,DAST XSS on settings and remaining endpoints,2026-09-03T08:37:01.724355+00:00,2026-09-03T08:40:20.629105+00:00,198.90475,25,36,4,0,0,0,False,837885,8677,698866,0,846562
20260903-0828-0009,5,dast,DAST XSS on login endpoint,2026-09-03T08:40:28.688820+00:00,2026-09-03T08:44:26.584151+00:00,237.895331,16,24,2,1,0,0,False,401840,13608,324869,0,415448
20260903-0828-0009,6,exploitation,Exploitation of users search reflected XSS,2026-09-03T08:44:35.782719+00:00,2026-09-03T08:46:09.317299+00:00,93.53458,6,13,1,1,0,0,False,139787,4856,87022,0,144643
20260903-0828-0009,7,exploitation,Exploitation of create_post stored XSS,2026-09-03T08:46:14.834572+00:00,2026-09-03T08:49:33.329334+00:00,198.494762,14,22,2,2,0,0,False,367592,11031,292117,0,378623
20260903-0828-0009,8,exploitation,Exploitation of edit_post stored XSS,2026-09-03T08:49:37.560976+00:00,2026-09-03T08:53:06.974168+00:00,209.413192,10,25,2,3,0,0,False,368113,11283,271749,0,379396
20260903-0828-0009,9,exploitation,Exploitation of settings stored XSS,2026-09-03T08:53:11.724091+00:00,2026-09-03T08:59:03.655226+00:00,351.931135,37,55,4,0,0,0,False,1107107,15685,890125,0,1122792
20260903-0828-0009,10,exploitation,Exploitation of settings stored XSS with correct credentials,2026-09-03T08:59:13.060416+00:00,2026-09-03T09:14:34.515268+00:00,921.454852,16,39,4,1,0,0,False,634913,34262,515026,0,669175
20260903-0828-0009,11,exploitation,Exploitation of request_friend reflected XSS,2026-09-03T09:14:39.371394+00:00,2026-09-03T09:17:26.968208+00:00,167.596814,11,21,2,1,0,0,False,267151,8991,187896,0,276142
20260903-0918-0010,0,recon,Initial recon and login,2026-09-03T09:18:43.798125+00:00,2026-09-03T09:21:01.278561+00:00,137.480436,21,23,1,1,0,0,False,250222,6327,184588,0,256549
20260903-0918-0010,1,dast,DAST XSS on profile and username parameters,2026-09-03T09:21:14.043126+00:00,2026-09-03T09:22:39.896208+00:00,85.853082,12,17,1,0,0,0,False,259275,3652,194720,0,262927
20260903-0918-0010,2,dast,DAST XSS on search parameters,2026-09-03T09:22:47.012350+00:00,2026-09-03T09:24:27.466256+00:00,100.453906,6,13,1,1,0,0,False,150700,5349,96855,0,156049
20260903-0918-0010,3,dast,DAST XSS on create_post endpoint,2026-09-03T09:24:34.718199+00:00,2026-09-03T09:26:01.127339+00:00,86.40914,7,14,1,1,0,0,False,152340,4235,95335,0,156575
20260903-0918-0010,4,dast,DAST XSS on settings endpoint,2026-09-03T09:26:06.450816+00:00,2026-09-03T09:27:51.240512+00:00,104.789696,8,16,1,2,0,0,False,180055,5562,128785,0,185617
20260903-0918-0010,5,dast,DAST XSS on edit_post and signup endpoints,2026-09-03T09:27:58.463173+00:00,,,17,28,2,0,0,0,False,484708,19175,390821,0,503883
20260903-0942-0011,0,recon,Initial recon and login,2026-09-03T09:43:05.010317+00:00,2026-09-03T09:45:02.287151+00:00,117.276834,17,19,1,1,0,0,False,194988,4560,88845,0,199548
20260903-0942-0011,1,dast,XSS on query parameters,2026-09-03T09:45:16.540700+00:00,2026-09-03T09:46:28.032687+00:00,71.491987,7,13,1,1,0,0,False,135630,3307,85635,0,138937
20260903-0942-0011,2,dast,XSS on POST form fields,2026-09-03T09:46:35.401049+00:00,2026-09-03T09:50:26.008948+00:00,230.607899,21,28,3,0,0,0,False,616800,11531,498721,0,628331
20260903-0942-0011,3,dast,XSS on remaining endpoints,2026-09-03T09:50:37.195446+00:00,2026-09-03T09:53:51.004366+00:00,193.80892,18,30,4,0,0,0,False,695853,9104,583885,0,704957
20260903-0942-0011,4,dast,XSS on settings and create_post GET,2026-09-03T09:54:25.849767+00:00,2026-09-03T09:57:22.465563+00:00,176.615796,10,21,2,2,0,0,False,266097,10016,199627,0,276113
20260903-0942-0011,5,exploitation,Exploitation of users search XSS,2026-09-03T09:57:30.412427+00:00,2026-09-03T10:01:05.460097+00:00,215.04767,18,29,1,1,0,0,False,495879,10428,368167,0,506307
20260903-0942-0011,6,exploitation,Exploitation of create_post stored XSS,2026-09-03T10:01:13.705559+00:00,2026-09-03T10:04:29.171396+00:00,195.465837,13,33,2,1,0,0,False,373049,9977,265751,0,383026
20260903-0942-0011,7,exploitation,Exploitation of edit_post stored XSS,2026-09-03T10:04:36.036541+00:00,2026-09-03T10:09:30.277374+00:00,294.240833,20,35,3,2,0,0,False,795082,14757,650402,0,809839
20260903-0942-0011,8,exploitation,Exploitation of request_friend reflected XSS,2026-09-03T10:09:36.542967+00:00,2026-09-03T10:11:56.772468+00:00,140.229501,12,18,1,1,0,0,False,216822,7128,141767,0,223950
20260903-0942-0011,9,exploitation,Exploitation of settings name stored XSS,2026-09-03T10:12:03.751711+00:00,2026-09-03T10:15:19.346318+00:00,195.594607,17,39,4,0,0,0,False,567793,9916,479666,0,577709
20260903-0942-0011,10,exploitation,Exploitation of settings bio stored XSS,2026-09-03T10:15:26.873185+00:00,2026-09-03T10:21:14.575639+00:00,347.702454,16,37,4,0,0,0,False,706831,19476,585407,0,726307
20260903-1022-0012,0,recon,Initial recon and authentication,2026-09-03T10:22:21.544568+00:00,2026-09-03T10:25:09.863516+00:00,168.318948,20,25,1,1,0,0,False,360223,7594,248600,0,367817
20260903-1022-0012,1,dast,XSS test on profile and direct_messages,2026-09-03T10:25:27.393853+00:00,2026-09-03T10:25:52.759896+00:00,25.366043,2,7,0,0,0,0,False,28187,1437,19751,0,29624
20260903-1022-0012,2,dast,XSS test on search parameters,2026-09-03T10:25:58.017890+00:00,2026-09-03T10:26:32.948687+00:00,34.930797,3,8,0,1,0,0,False,35732,2027,25245,0,37759
